,State,District,Name,Party,Incumbent,Winner,Vote Percentage,Raised,Spent
360,MA,05,Caroline Colarusso,R,False,False,25.6,"$148,635","$146,972"
361,MA,06,Seth Moulton,D,True,True,65.4,"$1,289,805","$1,802,169"
362,MA,06,John Paul Moran,R,False,False,34.4,"$300,220","$299,104"
363,MA,07,Ayanna Pressley,D,True,True,86.6,"$2,163,370","$1,748,432"
364,MA,08,Stephen Lynch,D,True,True,80.7,"$905,614","$1,134,662"
365,MA,09,Bill Keating,D,True,True,61.3,"$708,680","$652,448"
366,MA,09,Helen Brady,R,False,False,36.3,"$28,233","$23,735"
367,MI,01,John Bergman,R,True,True,61.6,"$1,868,512","$1,733,466"
368,MI,01,Dana Ferguson,D,False,False,36.9,"$346,213","$339,788"
369,MI,02,Bill Huizenga,R,True,True,59.2,"$2,175,411","$1,883,610"
370,MI,02,Bryan Berghoef,D,False,False,38.2,"$751,576","$669,864"
371,MI,03,Hillary Scholten,D,False,False,47.0,"$3,793,132","$3,765,942"
372,MI,03,Peter Meijer,R,False,True,53.0,"$2,975,972","$2,887,774"
373,MI,04,John Moolenaar,R,True,True,65.0,"$1,528,612","$1,036,160"
374,MI,04,Jerry Hilliard,D,False,False,32.4,"$23,117","$23,603"
375,MI,05,Dan Kildee,D,True,True,54.5,"$1,669,951","$1,504,094"
376,MI,05,Tim Kelly,R,False,False,41.7,"$71,106","$71,106"
